date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:24:11	128/128	---MCZ	200	added ('OK')	text/plain	date:Tue,%2014%20Apr%202020%2013:38:30%20GMT	https://bitgamble.org/robots.txt		(from )
09:24:11	163242/163242	---MCZ	200	added ('OK')	text/html	date:Thu,%2021%20Oct%202021%2006:24:13%20GMT	https://bitgamble.org/	C:/My%20Web%20Sites/JB/bitgamble.org/index.html	(from )
09:24:12	251/251	---M--	302	error ('Found')	text/html	date:Thu,%2021%20Oct%202021%2006:24:14%20GMT	http://ajax.googleapis.com/	C:/My%20Web%20Sites/JB/ajax.googleapis.com/index.html	(from https://bitgamble.org/)
09:24:12	1597/1597	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2021%20Oct%202021%2006:24:14%20GMT	http://fonts.googleapis.com/	C:/My%20Web%20Sites/JB/fonts.googleapis.com/index.html	(from https://bitgamble.org/)
09:24:12	243/243	---MCZ	403	error ('Forbidden')	application/xml	date:Thu,%2021%20Oct%202021%2006:24:14%20GMT	http://use.fontawesome.com/	C:/My%20Web%20Sites/JB/use.fontawesome.com/index.html	(from https://bitgamble.org/)
09:24:12	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2021%20Oct%202021%2006:24:14%20GMT	http://s.w.org/	C:/My%20Web%20Sites/JB/s.w.org/index.html	(from https://bitgamble.org/)
09:24:13	7065/7065	---M-Z	200	added ('OK')	text/css	date:Wed,%2029%20Jan%202020%2000:02:10%20GMT	https://bitgamble.org/wp-content/plugins/wp-report-post/css/style.css?ver=4.8.17	C:/My%20Web%20Sites/JB/bitgamble.org/wp-content/plugins/wp-report-post/css/style6712.css	(from https://bitgamble.org/)
09:24:13	736/736	---M-Z	200	added ('OK')	application/rss+xml	etag:%22c53d1140125d9a316bb384a4a02d21d6%22	https://bitgamble.org/home/feed/	C:/My%20Web%20Sites/JB/bitgamble.org/home/feed/index.html	(from https://bitgamble.org/)
09:24:13	1195/1195	---M-Z	200	added ('OK')	text/css	date:Wed,%2029%20Jan%202020%2000:13:58%20GMT	https://bitgamble.org/wp-content/plugins/wp-report-post/lib/remodal/remodal.css?ver=4.8.17	C:/My%20Web%20Sites/JB/bitgamble.org/wp-content/plugins/wp-report-post/lib/remodal/remodal6712.css	(from https://bitgamble.org/)
09:24:14	845/845	---M-Z	200	added ('OK')	text/css	date:Sun,%2006%20Sep%202020%2021:21:54%20GMT	https://bitgamble.org/wp-content/plugins/countdown-timer-ultimate/assets/css/wpcdt-timecircles.css?ver=1.2.5	C:/My%20Web%20Sites/JB/bitgamble.org/wp-content/plugins/countdown-timer-ultimate/assets/css/wpcdt-timecircles54f4.css	(from https://bitgamble.org/)
09:24:14	49932/49932	---MC-	200	added ('OK')	text/javascript	date:Tue,%2019%20Oct%202021%2016:47:48%20GMT	http://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/JB/www.google-analytics.com/analytics.js	(from https://bitgamble.org/)
09:24:14	775/775	---M-Z	200	added ('OK')	text/css	date:Wed,%2029%20Jan%202020%2000:10:20%20GMT	https://bitgamble.org/wp-content/plugins/featured-posts-pro/public/css/featured_posts_pro-public.css?ver=1.0.0	C:/My%20Web%20Sites/JB/bitgamble.org/wp-content/plugins/featured-posts-pro/public/css/featured_posts_pro-public8a54.css	(from https://bitgamble.org/)
09:24:14	1353/1353	---M-Z	200	added ('OK')	text/css	date:Wed,%2029%20Jan%202020%2000:01:59%20GMT	https://bitgamble.org/wp-content/plugins/wp-postratings/css/postratings-css.css?ver=1.84	C:/My%20Web%20Sites/JB/bitgamble.org/wp-content/plugins/wp-postratings/css/postratings-css2941.css	(from https://bitgamble.org/)
09:24:15	2192/2192	---MC-	200	added ('OK')	text/css	date:Thu,%2021%20Oct%202021%2006:24:17%20GMT	https://fonts.googleapis.com/css?family=Roboto%3A100%2C100i%2C300%2C300i%2C400%2C400i%2C500%2C500i%2C700%2C700i%2C900%2C900i&ver=1.0	C:/My%20Web%20Sites/JB/fonts.googleapis.com/css80d6.css	(from https://bitgamble.org/)
09:24:15	140617/140617	---M-Z	200	added ('OK')	text/css	date:Wed,%2029%20Jan%202020%2000:14:02%20GMT	https://bitgamble.org/wp-content/themes/hyipdog/assets/css/bootstrap.css?ver=1.0.7	C:/My%20Web%20Sites/JB/bitgamble.org/wp-content/themes/hyipdog/assets/css/bootstrap19f6.css	(from https://bitgamble.org/)
09:24:15	1776/1776	---M-Z	200	added ('OK')	text/css	date:Wed,%2029%20Jan%202020%2000:14:00%20GMT	https://bitgamble.org/wp-content/themes/hyipdog/assets/css/slick.css?ver=1.0.7	C:/My%20Web%20Sites/JB/bitgamble.org/wp-content/themes/hyipdog/assets/css/slick19f6.css	(from https://bitgamble.org/)
09:24:15	29195/29195	---M-Z	200	added ('OK')	text/css	date:Sun,%2012%20Sep%202021%2012:15:44%20GMT	https://bitgamble.org/wp-content/themes/hyipdog/style.css?ver=1.0.7	C:/My%20Web%20Sites/JB/bitgamble.org/wp-content/themes/hyipdog/style19f6.css	(from https://bitgamble.org/)
09:24:16	58935/58935	---MCZ	200	added ('OK')	text/css	etag:W/%2284d8ad2b4fcdc0f0c58247e778133b3a%22	https://use.fontawesome.com/releases/v5.14.0/css/all.css	C:/My%20Web%20Sites/JB/use.fontawesome.com/releases/v5.14.0/css/all.css	(from https://bitgamble.org/)
09:24:17	26702/26702	---MCZ	200	added ('OK')	text/css	etag:W/%226594c66c112461991bc746527d86004b%22	https://use.fontawesome.com/releases/v5.14.0/css/v4-shims.css	C:/My%20Web%20Sites/JB/use.fontawesome.com/releases/v5.14.0/css/v4-shims.css	(from https://bitgamble.org/)
09:24:18	730302/730302	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22ccfdb9dc442be0c629d331e94497428b%22	https://use.fontawesome.com/releases/v5.14.0/webfonts/fa-brands-400.svg	C:/My%20Web%20Sites/JB/use.fontawesome.com/releases/v5.14.0/webfonts/fa-brands-400.svg	(from https://bitgamble.org/)
09:24:18	914125/914125	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2203ba7cb710104df27f1c9c46d64bee4e%22	https://use.fontawesome.com/releases/v5.14.0/webfonts/fa-solid-900.svg	C:/My%20Web%20Sites/JB/use.fontawesome.com/releases/v5.14.0/webfonts/fa-solid-900.svg	(from https://bitgamble.org/)
09:24:18	144715/144715	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22e75dfd904d366a2560c63c23cfc98ef8%22	https://use.fontawesome.com/releases/v5.14.0/webfonts/fa-regular-400.svg	C:/My%20Web%20Sites/JB/use.fontawesome.com/releases/v5.14.0/webfonts/fa-regular-400.svg	(from https://bitgamble.org/)
09:24:19	18913/18913	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2029%20Jan%202020%2000:13:58%20GMT	https://bitgamble.org/wp-content/plugins/wp-report-post/lib/remodal/remodal.js?ver=4.8.17	C:/My%20Web%20Sites/JB/bitgamble.org/wp-content/plugins/wp-report-post/lib/remodal/remodal6712.js	(from https://bitgamble.org/)
09:24:19	85656/85656	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/2.2.2/jquery.min.js?ver=1.0	C:/My%20Web%20Sites/JB/ajax.googleapis.com/ajax/libs/jquery/2.2.2/jquery.min5152.js	(from https://bitgamble.org/)
09:24:19	9298/9298	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2029%20Jan%202020%2000:10:46%20GMT	https://bitgamble.org/wp-content/plugins/google-analytics-for-wordpress/assets/js/frontend.min.js?ver=7.10.0	C:/My%20Web%20Sites/JB/bitgamble.org/wp-content/plugins/google-analytics-for-wordpress/assets/js/frontend.min0f3b.js	(from https://bitgamble.org/)
09:24:19	69977/69977	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2029%20Jan%202020%2000:15:05%20GMT	https://bitgamble.org/wp-content/themes/hyipdog/assets/js/bootstrap.js?ver=1.0.7	C:/My%20Web%20Sites/JB/bitgamble.org/wp-content/themes/hyipdog/assets/js/bootstrap19f6.js	(from https://bitgamble.org/)
09:24:20	88454/88454	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2029%20Jan%202020%2000:15:05%20GMT	https://bitgamble.org/wp-content/themes/hyipdog/assets/js/slick.js?ver=1.0.7	C:/My%20Web%20Sites/JB/bitgamble.org/wp-content/themes/hyipdog/assets/js/slick19f6.js	(from https://bitgamble.org/)
09:24:20	1/1	---M--	200	added ('OK')	application/javascript	date:Wed,%2029%20Jan%202020%2000:15:04%20GMT	https://bitgamble.org/wp-content/themes/hyipdog/assets/js/main.js?ver=1.0.7	C:/My%20Web%20Sites/JB/bitgamble.org/wp-content/themes/hyipdog/assets/js/main19f6.js	(from https://bitgamble.org/)
09:24:21	60101/60101	---MCZ	200	added ('OK')	application/json	etag:W/%22409-1634507113;;;%22	https://bitgamble.org/wp-json/	C:/My%20Web%20Sites/JB/bitgamble.org/wp-json/index.html	(from https://bitgamble.org/)
